show_id,type,title,director,cast,date_added,release_year,rating,duration,listed_in,plataforma,age_category,genres
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",2021-11-26,2016,TV-G,23 min,"Animation, Family",disney,Para todas las edades / niños pequeños,"['Animation', ' Family']"
s2,Movie,Ernest Saves Christmas,John Cherry,"Jim Varney, Noelle Parker, Douglas Seale",2021-11-26,1988,PG,91 min,Comedy,disney,Para niños mayores,['Comedy']
s3,Movie,Ice Age: A Mammoth Christmas,Karen Disher,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",2021-11-26,2011,TV-G,23 min,"Animation, Comedy, Family",disney,Para todas las edades / niños pequeños,"['Animation', ' Comedy', ' Family']"
s4,Movie,The Queen Family Singalong,Hamish Hamilton,"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen",2021-11-26,2021,TV-PG,41 min,Musical,disney,Para niños mayores,['Musical']
s5,TV Show,The Beatles: Get Back,Desconocido,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",2021-11-25,2021,Desconocido,1 Season,"Docuseries, Historical, Music",disney,Desconocido,"['Docuseries', ' Historical', ' Music']"
s6,Movie,Becoming Cousteau,Liz Garbus,"Jacques Yves Cousteau, Vincent Cassel",2021-11-24,2021,PG-13,94 min,"Biographical, Documentary",disney,Para adolescentes,"['Biographical', ' Documentary']"
s7,TV Show,Hawkeye,Desconocido,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",2021-11-24,2021,TV-14,1 Season,"Action-Adventure, Superhero",disney,Para adolescentes,"['Action-Adventure', ' Superhero']"
s8,TV Show,Port Protection Alaska,Desconocido,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",2021-11-24,2015,TV-14,2 Seasons,"Docuseries, Reality, Survival",disney,Para adolescentes,"['Docuseries', ' Reality', ' Survival']"
s9,TV Show,Secrets of the Zoo: Tampa,Desconocido,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",2021-11-24,2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family",disney,Para niños mayores,"['Animals & Nature', ' Docuseries', ' Family']"
s10,Movie,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",2021-11-19,2008,G,45 min,"Comedy, Family, Musical",disney,Para todas las edades / niños pequeños,"['Comedy', ' Family', ' Musical']"
s11,Movie,Adventure Thru the Walt Disney Archives,John Gleim,"Don Hahn, Kathryn Beaumont, Pete Docter, Kevin Feige, Mark Hamill, Bob Iger",2021-11-19,2020,TV-PG,59 min,Documentary,disney,Para niños mayores,['Documentary']
s12,Movie,Puppy for Hanukkah,Desconocido,No Disponible,2021-11-19,2020,TV-G,4 min,"Comedy, Family, Music",disney,Para todas las edades / niños pequeños,"['Comedy', ' Family', ' Music']"
s13,Movie,The Pixar Story,Leslie Iwerks,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",2021-11-19,2007,G,91 min,"Documentary, Family",disney,Para todas las edades / niños pequeños,"['Documentary', ' Family']"
s14,TV Show,"Dr. Oakley, Yukon Vet",Desconocido,"Dr. Michelle Oakley, Zachary Fine",2021-11-17,2013,TV-PG,10 Seasons,"Action-Adventure, Animals & Nature, Docuseries",disney,Para niños mayores,"['Action-Adventure', ' Animals & Nature', ' Docuseries']"
s15,Movie,America the Beautiful,Desconocido,Michael B. Jordan,2021-11-12,2021,TV-PG,2 min,Animals & Nature,disney,Para niños mayores,['Animals & Nature']
s16,Movie,Baymax!,Desconocido,No Disponible,2021-11-12,2021,TV-G,1 min,Animation,disney,Para todas las edades / niños pequeños,['Animation']
s17,Movie,Ciao Alberto,McKenna Harris,"Jack Dylan Grazer, Marco Barricelli",2021-11-12,2021,TV-PG,8 min,"Animation, Comedy, Family",disney,Para niños mayores,"['Animation', ' Comedy', ' Family']"
s18,TV Show,Disney Fancy Nancy,Desconocido,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath",2021-11-12,2018,TV-PG,3 Seasons,"Animation, Kids",disney,Para niños mayores,"['Animation', ' Kids']"
s19,TV Show,Disney Intertwined,Desconocido,"Carolina Domenech, JosÃ© JimÃ©nez Zapiola, Kevsho, Elena Roger, Clara Alonso, Emilia Mernes",2021-11-12,2021,TV-PG,1 Season,"Comedy, Coming of Age, Drama",disney,Para niños mayores,"['Comedy', ' Coming of Age', ' Drama']"
s20,Movie,Enchanted,Kevin Lima,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Susan Sarandon",2021-11-12,2007,PG,110 min,"Comedy, Family, Fantasy",disney,Para niños mayores,"['Comedy', ' Family', ' Fantasy']"
s21,Movie,Feast,Patrick Osborne,"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!",2021-11-12,2014,G,8 min,"Animation, Comedy, Drama",disney,Para todas las edades / niños pequeños,"['Animation', ' Comedy', ' Drama']"
s22,Movie,Frozen Fever,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Chris Williams",2021-11-12,2015,G,11 min,"Animation, Family, Fantasy",disney,Para todas las edades / niños pequeños,"['Animation', ' Family', ' Fantasy']"
s23,Movie,Get a Horse!,Lauren MacMullan,"Walt Disney, Marcellite Garner, Russi Taylor, Billy Bletcher, Will Ryan, Bob Bergen",2021-11-12,2013,G,7 min,"Action-Adventure, Animation, Comedy",disney,Para todas las edades / niños pequeños,"['Action-Adventure', ' Animation', ' Comedy']"
s24,Movie,Home Sweet Home Alone,Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, Kenan Thompson, Tim Simons",2021-11-12,2021,PG,95 min,"Comedy, Family",disney,Para niños mayores,"['Comedy', ' Family']"
s25,Movie,Jungle Cruise,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramirez, Jack Whitehall, Jesse Plemons, Paul Giamatti",2021-11-12,2021,PG-13,129 min,"Action-Adventure, Comedy, Family",disney,Para adolescentes,"['Action-Adventure', ' Comedy', ' Family']"
s26,Movie,Limitless with Chris Hemsworth,Desconocido,Chris Hemsworth,2021-11-12,2021,TV-14,2 min,Lifestyle,disney,Para adolescentes,['Lifestyle']
s27,Movie,Marvel Studiosâ 2021 Disney+ Day Special,Desconocido,No Disponible,2021-11-12,2021,TV-PG,14 min,Movies,disney,Para niños mayores,['Movies']
s28,Movie,Obi-Wan Kenobi,Desconocido,No Disponible,2021-11-12,2021,TV-PG,1 min,"Action-Adventure, Science Fiction",disney,Para niños mayores,"['Action-Adventure', ' Science Fiction']"
s29,TV Show,Olaf Presents,Desconocido,Josh Gad,2021-11-12,2021,TV-PG,1 Season,"Animation, Family",disney,Para niños mayores,"['Animation', ' Family']"
s30,Movie,Paperman,John Kahrs,"John Kahrs, Kari Wahlgren",2021-11-12,2012,G,7 min,"Animation, Comedy, Family",disney,Para todas las edades / niños pequeños,"['Animation', ' Comedy', ' Family']"
s31,Movie,Pixar 2021 Disney+ Day Special,Desconocido,"Pete Docter, Larry the Cable Guy, Jack Dylan Grazer, Domee Shi, Angus MacLane",2021-11-12,2021,G,5 min,Movies,disney,Para todas las edades / niños pequeños,['Movies']
s32,Movie,Shang-Chi and The Legend of The Ten Rings,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung, Michelle Yeoh, Meng'er Zhang, Ben Kingsley",2021-11-12,2021,PG-13,134 min,"Action-Adventure, Fantasy, Superhero",disney,Para adolescentes,"['Action-Adventure', ' Fantasy', ' Superhero']"
s33,Movie,Spin,Manjari Makijany,"Avantika, Michael Bishop, Anna Cathcart, Jahbril Cook, Kerri Medders, Aryan Simhadri",2021-11-12,2021,TV-G,94 min,"Coming of Age, Music",disney,Para todas las edades / niños pequeños,"['Coming of Age', ' Music']"
s34,Movie,Tangled Ever After,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart",2021-11-12,2012,G,9 min,"Animation, Family",disney,Para todas las edades / niños pequeños,"['Animation', ' Family']"
s35,Movie,The Ballad of Nessie,"Stevie Wermers-Skelton, Kevin Deters",Billy Connolly,2021-11-12,2011,G,8 min,"Animation, Family, Fantasy",disney,Para todas las edades / niños pequeños,"['Animation', ' Family', ' Fantasy']"
s36,Movie,The Little Matchgirl,Roger Allers,No Disponible,2021-11-12,2006,G,7 min,"Animation, Drama",disney,Para todas las edades / niños pequeños,"['Animation', ' Drama']"
s37,Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,David Clair,"Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez",2021-11-12,2021,TV-PG,30 min,"Concert Film, Music",disney,Para niños mayores,"['Concert Film', ' Music']"
s38,Movie,The Proud Family: Louder and Prouder,Desconocido,"Kyla Pratt, Tommy Davidson, Paula Jai Parker, JoMarie Payton, Cedric the Entertainer",2021-11-12,2021,TV-G,1 min,"Animation, Comedy, Coming of Age",disney,Para todas las edades / niños pequeños,"['Animation', ' Comedy', ' Coming of Age']"
s39,Movie,The Simpsons in Plusaversary,David Silverman,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Tress MacNeille, Hank Azaria",2021-11-12,2021,TV-PG,6 min,"Animation, Comedy",disney,Para niños mayores,"['Animation', ' Comedy']"
s40,Movie,Tick Tock Tale,Dean Wellins,No Disponible,2021-11-12,2010,G,6 min,"Animation, Crime, Family",disney,Para todas las edades / niños pequeños,"['Animation', ' Crime', ' Family']"
s41,Movie,Under the Helmet: The Legacy of Boba Fett,Desconocido,No Disponible,2021-11-12,2021,TV-PG,22 min,Science Fiction,disney,Para niños mayores,['Science Fiction']
s42,Movie,Willow,Desconocido,No Disponible,2021-11-12,2021,TV-PG,3 min,"Action-Adventure, Fantasy",disney,Para niños mayores,"['Action-Adventure', ' Fantasy']"
s43,Movie,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney",2021-11-05,2011,G,87 min,"Comedy, Family, Music",disney,Para todas las edades / niños pequeños,"['Comedy', ' Family', ' Music']"
s44,Movie,Jingle All The Way,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Martin Mull",2021-11-05,1996,PG,90 min,"Comedy, Family",disney,Para niños mayores,"['Comedy', ' Family']"
s45,Movie,Jingle All the Way 2,Alex Zamm,"Larry the Cable Guy, Brian Stepanek, Santino Marella, Kennedi Clements, Kirsten Robek, Rachel Hayward",2021-11-05,2014,PG,91 min,"Comedy, Family",disney,Para niños mayores,"['Comedy', ' Family']"
s46,Movie,Prep & Landing: Operation Secret Santa,"Kevin Deters, Stevie Wermers-Skelton","Betty White, Dave Foley, Derek Richardson, Sarah Chalke, W. Morgan Sheppard",2021-11-05,2010,TV-G,8 min,"Animation, Family, Fantasy",disney,Para todas las edades / niños pequeños,"['Animation', ' Family', ' Fantasy']"
s47,Movie,Santa Buddies: The Legend of Santa Paws,Robert Vince,"Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae",2021-11-05,2009,G,93 min,"Comedy, Fantasy, Kids",disney,Para todas las edades / niños pequeños,"['Comedy', ' Fantasy', ' Kids']"
s48,Movie,Snow Buddies,Robert Vince,"Dominic Scott Kay, John Kapelos, Lise Simms, Mike Dopud, Charles C. Stevenson Jr., Dylan Minnette",2021-11-05,2008,G,91 min,"Action-Adventure, Comedy, Kids",disney,Para todas las edades / niños pequeños,"['Action-Adventure', ' Comedy', ' Kids']"
s49,Movie,Space Buddies,Robert Vince,"F.T. Anderson, Diedrich Bader, Field Cate, Kendall Cross, Mike Dopud, Mark Downey",2021-11-05,2009,G,87 min,"Action-Adventure, Comedy, Kids",disney,Para todas las edades / niños pequeños,"['Action-Adventure', ' Comedy', ' Kids']"
s50,Movie,The Search for Santa Paws,Robert Vince,"Resse Alexander, Diedrich Bader, Sahar Biniaz, Jan Boss, Ameko Eks Mass Carroll, Melody Choi",2021-11-05,2010,G,101 min,"Drama, Family, Fantasy",disney,Para todas las edades / niños pequeños,"['Drama', ' Family', ' Fantasy']"
